f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
s,h,a,y,e,l,a,&,s,d,a,y,e,l,a,#,n,g,i,s,d,a,y,e,l,a,$,V,SG,1,PRS	n,g,i,s,h,a,y,e,l,a
s,h,a,y,e,l,a,&,s,z,a,y,e,l,a,#,n,g,i,s,z,a,y,e,l,e,$,V,SG,1,PST+RCT	n,g,i,s,h,a,y,e,l,e
s,h,a,y,e,l,a,&,s,h,a,j,m,l,a,#,n,g,a,s,h,a,j,m,l,a,$,V,SG,1,PST+RMT	n,g,a,s,h,a,y,e,l,a
s,h,a,y,e,l,a,&,s,h,v,g,e,l,a,#,n,g,i,z,o,s,h,v,g,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,a,y,e,l,a
n,a,k,a,&,n,a,k,t,#,n,a,k,t,$,COPY	n,a,k,a
n,a,k,a,&,n,d,k,a,#,n,g,i,n,d,k,a,$,V,SG,1,PRS	n,g,i,n,a,k,a
n,a,k,a,&,f,a,k,a,#,n,g,i,f,a,k,e,$,V,SG,1,PST+RCT	n,g,i,n,a,k,e
n,a,k,a,&,n,b,k,w,#,n,g,i,y,o,n,b,k,w,$,V,SG,1,FUT	n,g,i,y,o,n,a,k,a
n,a,k,a,&,n,j,k,a,#,n,g,i,z,o,n,j,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,a,k,a
n,a,k,a,&,n,a,j,u,#,n,g,a,n,a,j,u,$,V,SG,1,PST+RMT	n,g,a,n,a,k,a
q,a,l,a,&,j,a,l,a,#,j,a,l,a,$,COPY	q,a,l,a
q,a,l,a,&,q,a,k,a,#,n,g,i,q,a,k,e,$,V,SG,1,PST+RCT	n,g,i,q,a,l,e
q,a,l,a,&,n,a,q,a,#,n,g,i,y,o,n,a,q,a,$,V,SG,1,FUT	n,g,i,y,o,q,a,l,a
q,a,l,a,&,q,a,l,n,#,n,g,i,q,a,l,n,$,V,SG,1,PRS	n,g,i,q,a,l,a
q,a,l,a,&,b,s,l,p,#,n,g,a,b,s,l,p,$,V,SG,1,PST+RMT	n,g,a,q,a,l,a
q,a,l,a,&,g,w,l,c,#,n,g,i,z,o,g,w,l,c,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,a,l,a
f,a,k,a,&,f,a,d,f,#,f,a,d,f,$,COPY	f,a,k,a
f,a,k,a,&,h,l,k,a,#,n,g,i,h,l,k,a,$,V,SG,1,PRS	n,g,i,f,a,k,a
f,a,k,a,&,f,h,k,a,#,n,g,i,z,o,f,h,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,k,a
f,a,k,a,&,f,p,j,a,#,n,g,i,f,p,j,e,$,V,SG,1,PST+RCT	n,g,i,f,a,k,e
f,a,k,a,&,f,a,q,a,#,n,g,a,f,a,q,a,$,V,SG,1,PST+RMT	n,g,a,f,a,k,a
f,a,k,a,&,k,a,k,a,#,n,g,i,y,o,k,a,k,a,$,V,SG,1,FUT	n,g,i,y,o,f,a,k,a
h,l,e,k,a,&,h,l,e,d,p,#,h,l,e,d,p,$,COPY	h,l,e,k,a
h,l,e,k,a,&,h,p,e,s,a,#,n,g,i,h,p,e,s,e,$,V,SG,1,PST+RCT	n,g,i,h,l,e,k,e
h,l,e,k,a,&,h,c,e,k,a,#,n,g,a,h,c,e,k,a,$,V,SG,1,PST+RMT	n,g,a,h,l,e,k,a
h,l,e,k,a,&,h,l,e,k,b,#,n,g,i,y,o,h,l,e,k,b,$,V,SG,1,FUT	n,g,i,y,o,h,l,e,k,a
h,l,e,k,a,&,h,l,u,t,a,#,n,g,i,y,a,h,l,u,t,a,$,V,SG,1,PRS	n,g,i,y,a,h,l,e,k,a
h,l,e,k,a,&,h,l,d,k,s,#,n,g,i,z,o,h,l,d,k,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,e,k,a
q,e,d,a,&,a,e,k,a,#,a,e,k,a,$,COPY	q,e,d,a
q,e,d,a,&,n,e,s,m,#,n,g,a,n,e,s,m,$,V,SG,1,PST+RMT	n,g,a,q,e,d,a
q,e,d,a,&,q,l,o,a,#,n,g,i,z,o,q,l,o,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,d,a
q,e,d,a,&,m,k,d,a,#,n,g,i,y,o,m,k,d,a,$,V,SG,1,FUT	n,g,i,y,o,q,e,d,a
q,e,d,a,&,c,o,d,a,#,n,g,i,c,o,d,a,$,V,SG,1,PRS	n,g,i,q,e,d,a
q,e,d,a,&,u,e,d,a,#,n,g,i,u,e,d,e,$,V,SG,1,PST+RCT	n,g,i,q,e,d,e
p,h,i,l,a,&,p,h,i,h,a,#,p,h,i,h,a,$,COPY	p,h,i,l,a
p,h,i,l,a,&,p,h,s,l,a,#,n,g,a,p,h,s,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,l,a
p,h,i,l,a,&,p,t,i,l,a,#,n,g,i,p,t,i,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,i,l,e
p,h,i,l,a,&,t,s,i,l,a,#,n,g,i,z,o,t,s,i,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,l,a
p,h,i,l,a,&,p,s,i,l,h,#,n,g,i,y,o,p,s,i,l,h,$,V,SG,1,FUT	n,g,i,y,o,p,h,i,l,a
p,h,i,l,a,&,p,i,i,l,a,#,n,g,i,y,a,p,i,i,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,i,l,a
b,a,&,f,a,#,f,a,$,COPY	b,a
b,a,&,f,a,#,n,g,i,z,o,k,u,f,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,b,a
b,a,&,f,a,#,n,g,a,f,a,$,V,SG,1,PST+RMT	n,g,a,b,a
b,a,&,f,a,#,n,g,i,f,e,$,V,SG,1,PST+RCT	n,g,i,b,e
b,a,&,f,a,#,n,g,i,f,a,$,V,SG,1,PRS	n,g,i,b,a
b,a,&,f,a,#,n,g,i,y,o,k,u,f,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,b,a
l,a,l,a,&,v,a,n,a,#,v,a,n,a,$,COPY	l,a,l,a
l,a,l,a,&,q,a,l,t,#,n,g,i,z,o,q,a,l,t,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,a
l,a,l,a,&,m,a,l,a,#,n,g,i,y,o,m,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a
l,a,l,a,&,b,a,l,a,#,n,g,a,b,a,l,a,$,V,SG,1,PST+RMT	n,g,a,l,a,l,a
l,a,l,a,&,l,a,b,a,#,n,g,i,y,a,l,a,b,a,$,V,SG,1,PRS	n,g,i,y,a,l,a,l,a
l,a,l,a,&,l,a,o,a,#,n,g,i,l,a,o,e,$,V,SG,1,PST+RCT	n,g,i,l,a,l,e
g,i,j,i,m,a,&,g,i,j,p,m,a,#,g,i,j,p,m,a,$,COPY	g,i,j,i,m,a
g,i,j,i,m,a,&,g,i,l,i,w,a,#,n,g,i,g,i,l,i,w,e,$,V,SG,1,PST+RCT	n,g,i,g,i,j,i,m,e
g,i,j,i,m,a,&,g,i,j,i,f,a,#,n,g,i,y,a,g,i,j,i,f,a,$,V,SG,1,PRS	n,g,i,y,a,g,i,j,i,m,a
g,i,j,i,m,a,&,g,v,c,i,c,a,#,n,g,i,z,o,g,v,c,i,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,j,i,m,a
g,i,j,i,m,a,&,g,i,j,i,m,b,#,n,g,a,g,i,j,i,m,b,$,V,SG,1,PST+RMT	n,g,a,g,i,j,i,m,a
g,i,j,i,m,a,&,g,i,j,m,y,a,#,n,g,i,y,o,g,i,j,m,y,a,$,V,SG,1,FUT	n,g,i,y,o,g,i,j,i,m,a
b,h,a,l,a,&,d,h,a,l,a,#,d,h,a,l,a,$,COPY	b,h,a,l,a
b,h,a,l,a,&,l,h,a,p,a,#,n,g,i,z,o,l,h,a,p,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,a,l,a
b,h,a,l,a,&,k,h,e,l,a,#,n,g,i,k,h,e,l,e,$,V,SG,1,PST+RCT	n,g,i,b,h,a,l,e
b,h,a,l,a,&,b,h,a,l,e,#,n,g,i,b,h,a,l,e,$,V,SG,1,PRS	n,g,i,b,h,a,l,a
b,h,a,l,a,&,b,h,u,y,a,#,n,g,a,b,h,u,y,a,$,V,SG,1,PST+RMT	n,g,a,b,h,a,l,a
b,h,a,l,a,&,b,h,q,l,a,#,n,g,i,y,o,b,h,q,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,h,a,l,a
d,l,a,&,d,a,a,#,d,a,a,$,COPY	d,l,a
d,l,a,&,d,l,t,#,n,g,i,y,o,k,u,d,l,t,$,V,SG,1,FUT	n,g,i,y,o,k,u,d,l,a
d,l,a,&,d,l,l,#,n,g,i,z,o,k,u,d,l,l,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,d,l,a
d,l,a,&,d,a,l,a,#,n,g,i,d,a,l,e,$,V,SG,1,PST+RCT	n,g,i,d,l,e
d,l,a,&,j,l,a,#,n,g,i,j,l,a,$,V,SG,1,PRS	n,g,i,d,l,a
d,l,a,&,e,l,p,#,n,g,a,e,l,p,$,V,SG,1,PST+RMT	n,g,a,d,l,a
p,h,e,f,u,m,u,l,a,&,p,b,e,f,u,m,u,l,a,#,p,b,e,f,u,m,u,l,a,$,COPY	p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,&,p,o,y,f,p,m,u,l,a,#,n,g,i,z,o,p,o,y,f,p,m,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,&,p,h,e,f,u,m,g,l,a,#,n,g,i,y,a,p,h,e,f,u,m,g,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,&,p,h,e,f,y,m,u,l,a,#,n,g,i,p,h,e,f,y,m,u,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,e,f,u,m,u,l,e
p,h,e,f,u,m,u,l,a,&,p,h,e,f,u,b,f,l,a,#,n,g,a,p,h,e,f,u,b,f,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,f,u,m,u,l,a
p,h,e,f,u,m,u,l,a,&,p,w,e,f,u,m,u,l,a,#,n,g,i,y,o,p,w,e,f,u,m,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,f,u,m,u,l,a
w,a,&,f,a,#,f,a,$,COPY	w,a
w,a,&,f,a,#,n,g,a,f,a,$,V,SG,1,PST+RMT	n,g,a,w,a
w,a,&,f,a,#,n,g,i,f,e,$,V,SG,1,PST+RCT	n,g,i,w,e
w,a,&,f,a,#,n,g,i,z,o,k,u,f,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,a
w,a,&,f,a,#,n,g,i,f,a,$,V,SG,1,PRS	n,g,i,w,a
w,a,&,f,a,#,n,g,i,y,o,k,u,f,a,$,V,SG,1,FUT	n,g,i,y,o,w,a
p,h,u,z,a,&,p,h,o,z,a,#,p,h,o,z,a,$,COPY	p,h,u,z,a
p,h,u,z,a,&,p,m,u,z,t,#,n,g,a,p,m,u,z,t,$,V,SG,1,PST+RMT	n,g,a,p,h,u,z,a
p,h,u,z,a,&,p,h,v,g,a,#,n,g,i,p,h,v,g,a,$,V,SG,1,PRS	n,g,i,p,h,u,z,a
p,h,u,z,a,&,p,h,u,o,a,#,n,g,i,z,o,p,h,u,o,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,z,a
p,h,u,z,a,&,p,h,u,h,b,#,n,g,i,y,o,p,h,u,h,b,$,V,SG,1,FUT	n,g,i,y,o,p,h,u,z,a
p,h,u,z,a,&,p,g,u,z,a,#,n,g,i,p,g,u,z,e,$,V,SG,1,PST+RCT	n,g,i,p,h,u,z,e
t,h,i,n,t,a,&,t,h,i,n,f,a,#,t,h,i,n,f,a,$,COPY	t,h,i,n,t,a
t,h,i,n,t,a,&,i,u,i,k,t,a,#,n,g,i,i,u,i,k,t,e,$,V,SG,1,PST+RCT	n,g,i,t,h,i,n,t,e
t,h,i,n,t,a,&,t,h,m,n,t,a,#,n,g,i,z,o,t,h,m,n,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,i,n,t,a
t,h,i,n,t,a,&,t,z,i,n,t,a,#,n,g,i,y,o,t,z,i,n,t,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,i,n,t,a
t,h,i,n,t,a,&,t,u,i,s,e,a,#,n,g,a,t,u,i,s,e,a,$,V,SG,1,PST+RMT	n,g,a,t,h,i,n,t,a
t,h,i,n,t,a,&,t,u,v,i,t,a,#,n,g,i,t,u,v,i,t,a,$,V,SG,1,PRS	n,g,i,t,h,i,n,t,a
l,a,h,l,e,k,e,l,w,a,&,l,a,m,l,p,k,b,q,w,a,#,l,a,m,l,p,k,b,q,w,a,$,COPY	l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,&,l,m,h,l,e,k,e,y,w,a,#,n,g,i,l,m,h,l,e,k,e,y,w,e,$,V,SG,1,PST+RCT	n,g,i,l,a,h,l,e,k,e,l,w,e
l,a,h,l,e,k,e,l,w,a,&,l,a,k,l,e,k,e,m,w,a,#,n,g,i,l,a,k,l,e,k,e,m,w,a,$,V,SG,1,PRS	n,g,i,l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,&,l,a,g,g,e,v,e,l,k,a,#,n,g,i,z,o,l,a,g,g,e,v,e,l,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,&,l,a,h,d,e,k,e,w,w,a,#,n,g,i,y,o,l,a,h,d,e,k,e,w,w,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,h,l,e,k,e,l,w,a
l,a,h,l,e,k,e,l,w,a,&,l,a,h,l,q,k,e,l,w,a,#,n,g,a,l,a,h,l,q,k,e,l,w,a,$,V,SG,1,PST+RMT	n,g,a,l,a,h,l,e,k,e,l,w,a
l,w,a,&,l,w,k,#,l,w,k,$,COPY	l,w,a
l,w,a,&,w,a,#,n,g,i,w,e,$,V,SG,1,PST+RCT	n,g,i,l,w,e
l,w,a,&,l,w,z,#,n,g,i,l,w,z,$,V,SG,1,PRS	n,g,i,l,w,a
l,w,a,&,z,h,e,#,n,g,a,z,h,e,$,V,SG,1,PST+RMT	n,g,a,l,w,a
l,w,a,&,l,e,a,#,n,g,i,y,o,k,u,l,e,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,l,w,a
l,w,a,&,l,f,a,#,n,g,i,z,o,k,u,l,f,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,l,w,a
s,u,k,u,m,a,&,s,u,k,w,m,a,#,s,u,k,w,m,a,$,COPY	s,u,k,u,m,a
s,u,k,u,m,a,&,s,u,k,i,m,a,#,n,g,i,s,u,k,i,m,a,$,V,SG,1,PRS	n,g,i,s,u,k,u,m,a
s,u,k,u,m,a,&,s,f,k,u,m,a,#,n,g,a,s,f,k,u,m,a,$,V,SG,1,PST+RMT	n,g,a,s,u,k,u,m,a
s,u,k,u,m,a,&,s,s,k,f,o,a,#,n,g,i,s,s,k,f,o,e,$,V,SG,1,PST+RCT	n,g,i,s,u,k,u,m,e
s,u,k,u,m,a,&,s,u,k,m,m,a,#,n,g,i,z,o,s,u,k,m,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,u,k,u,m,a
s,u,k,u,m,a,&,s,t,k,u,m,a,#,n,g,i,y,o,s,t,k,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,s,u,k,u,m,a
p,h,e,n,d,u,l,a,&,p,b,s,n,p,u,l,a,#,p,b,s,n,p,u,l,a,$,COPY	p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,&,p,s,e,n,d,n,y,a,#,n,g,i,p,s,e,n,d,n,y,a,$,V,SG,1,PRS	n,g,i,p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,&,p,h,e,n,m,u,l,a,#,n,g,i,p,h,e,n,m,u,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,e,n,d,u,l,e
p,h,e,n,d,u,l,a,&,p,n,o,n,k,g,l,a,#,n,g,i,y,o,p,n,o,n,k,g,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,&,p,h,p,n,d,u,l,a,#,n,g,i,z,o,p,h,p,n,d,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,n,d,u,l,a
p,h,e,n,d,u,l,a,&,p,h,e,q,d,k,m,a,#,n,g,a,p,h,e,q,d,k,m,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,n,d,u,l,a
q,o,n,d,a,&,h,o,n,o,a,#,h,o,n,o,a,$,COPY	q,o,n,d,a
q,o,n,d,a,&,q,y,n,d,a,#,n,g,i,y,o,q,y,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,q,o,n,d,a
q,o,n,d,a,&,m,o,o,d,a,#,n,g,i,m,o,o,d,e,$,V,SG,1,PST+RCT	n,g,i,q,o,n,d,e
q,o,n,d,a,&,q,o,u,d,a,#,n,g,i,y,a,q,o,u,d,a,$,V,SG,1,PRS	n,g,i,y,a,q,o,n,d,a
q,o,n,d,a,&,q,z,a,d,t,#,n,g,i,z,o,q,z,a,d,t,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,o,n,d,a
q,o,n,d,a,&,k,o,n,d,a,#,n,g,a,k,o,n,d,a,$,V,SG,1,PST+RMT	n,g,a,q,o,n,d,a
b,o,n,a,k,a,l,a,&,b,o,u,a,k,a,l,a,#,b,o,u,a,k,a,l,a,$,COPY	b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,&,b,o,c,d,k,a,l,a,#,n,g,a,b,o,c,d,k,a,l,a,$,V,SG,1,PST+RMT	n,g,a,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,&,b,f,n,d,k,s,l,a,#,n,g,i,y,o,b,f,n,d,k,s,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,&,b,o,y,w,s,a,g,a,#,n,g,i,b,o,y,w,s,a,g,a,$,V,SG,1,PRS	n,g,i,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,&,b,k,n,t,p,a,l,a,#,n,g,i,z,o,b,k,n,t,p,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,o,n,a,k,a,l,a
b,o,n,a,k,a,l,a,&,b,m,n,a,k,e,l,a,#,n,g,i,b,m,n,a,k,e,l,e,$,V,SG,1,PST+RCT	n,g,i,b,o,n,a,k,a,l,e
c,h,a,s,i,s,a,&,c,v,a,s,e,s,a,#,c,v,a,s,e,s,a,$,COPY	c,h,a,s,i,s,a
c,h,a,s,i,s,a,&,c,h,a,s,g,s,a,#,n,g,i,c,h,a,s,g,s,e,$,V,SG,1,PST+RCT	n,g,i,c,h,a,s,i,s,e
c,h,a,s,i,s,a,&,c,h,a,s,i,m,a,#,n,g,i,c,h,a,s,i,m,a,$,V,SG,1,PRS	n,g,i,c,h,a,s,i,s,a
c,h,a,s,i,s,a,&,c,h,a,k,i,s,a,#,n,g,a,c,h,a,k,i,s,a,$,V,SG,1,PST+RMT	n,g,a,c,h,a,s,i,s,a
c,h,a,s,i,s,a,&,c,h,a,s,i,v,a,#,n,g,i,z,o,c,h,a,s,i,v,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,h,a,s,i,s,a
c,h,a,s,i,s,a,&,c,g,a,s,i,b,a,#,n,g,i,y,o,c,g,a,s,i,b,a,$,V,SG,1,FUT	n,g,i,y,o,c,h,a,s,i,s,a
h,l,a,n,g,a,n,a,&,h,l,a,n,f,a,n,a,#,h,l,a,n,f,a,n,a,$,COPY	h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,&,h,l,a,n,g,m,e,a,#,n,g,i,h,l,a,n,g,m,e,a,$,V,SG,1,PRS	n,g,i,h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,&,h,m,a,n,z,b,n,a,#,n,g,i,h,m,a,n,z,b,n,e,$,V,SG,1,PST+RCT	n,g,i,h,l,a,n,g,a,n,e
h,l,a,n,g,a,n,a,&,h,l,a,n,f,a,n,a,#,n,g,i,y,o,h,l,a,n,f,a,n,a,$,V,SG,1,FUT	n,g,i,y,o,h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,&,h,h,a,n,g,a,n,a,#,n,g,a,h,h,a,n,g,a,n,a,$,V,SG,1,PST+RMT	n,g,a,h,l,a,n,g,a,n,a
h,l,a,n,g,a,n,a,&,h,l,q,n,g,a,n,a,#,n,g,i,z,o,h,l,q,n,g,a,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,a,n,g,a,n,a
p,h,u,m,a,&,l,h,u,m,a,#,l,h,u,m,a,$,COPY	p,h,u,m,a
p,h,u,m,a,&,p,h,g,m,a,#,n,g,i,y,o,p,h,g,m,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,u,m,a
p,h,u,m,a,&,g,p,u,w,t,#,n,g,i,g,p,u,w,t,$,V,SG,1,PRS	n,g,i,p,h,u,m,a
p,h,u,m,a,&,p,m,l,m,a,#,n,g,a,p,m,l,m,a,$,V,SG,1,PST+RMT	n,g,a,p,h,u,m,a
p,h,u,m,a,&,p,h,k,m,a,#,n,g,i,p,h,k,m,e,$,V,SG,1,PST+RCT	n,g,i,p,h,u,m,e
p,h,u,m,a,&,p,w,o,m,a,#,n,g,i,z,o,p,w,o,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,m,a
z,w,a,&,z,w,w,#,z,w,w,$,COPY	z,w,a
z,w,a,&,w,a,#,n,g,i,w,e,$,V,SG,1,PST+RCT	n,g,i,z,w,e
z,w,a,&,o,w,a,#,n,g,i,y,o,k,u,o,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,w,a
z,w,a,&,z,w,f,#,n,g,a,z,w,f,$,V,SG,1,PST+RMT	n,g,a,z,w,a
z,w,a,&,z,w,d,#,n,g,i,y,e,z,w,d,$,V,SG,1,PRS	n,g,i,y,e,z,w,a
z,w,a,&,z,p,a,#,n,g,i,z,o,k,u,z,p,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,w,a
l,a,l,a, ,p,h,a,n,s,i,&,m,a,l,a, ,p,h,a,n,s,i,#,m,a,l,a, ,p,h,a,n,s,i,$,COPY	l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,&,l,j,l,a, ,p,h,a,n,s,i,#,n,g,i,y,o,l,j,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,&,j,a,l,a, ,p,h,a,n,s,i,#,n,g,a,j,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RMT	n,g,a,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,&,l,a,l,a, ,p,h,a,u,s,i,#,n,g,i,l,e,l,e, ,p,h,a,u,s,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,&,p,a,l,a, ,p,h,a,n,s,i,#,n,g,i,z,o,p,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,&,l,k,l,a, ,p,h,a,n,s,i,#,n,g,i,l,k,l,a, ,p,h,a,n,s,i,$,V,SG,1,PRS	n,g,i,l,a,l,a, ,p,h,a,n,s,i
v,u,l,a,&,f,u,l,a,#,f,u,l,a,$,COPY	v,u,l,a
v,u,l,a,&,p,u,l,a,#,n,g,i,p,u,l,e,$,V,SG,1,PST+RCT	n,g,i,v,u,l,e
v,u,l,a,&,v,u,p,s,#,n,g,i,v,u,p,s,$,V,SG,1,PRS	n,g,i,v,u,l,a
v,u,l,a,&,q,u,w,a,#,n,g,a,q,u,w,a,$,V,SG,1,PST+RMT	n,g,a,v,u,l,a
v,u,l,a,&,v,u,s,a,#,n,g,i,y,o,v,u,s,a,$,V,SG,1,FUT	n,g,i,y,o,v,u,l,a
v,u,l,a,&,v,q,w,f,#,n,g,i,z,o,v,q,w,f,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,l,a
v,u,m,a,&,v,u,m,j,#,v,u,m,j,$,COPY	v,u,m,a
v,u,m,a,&,v,t,b,l,#,n,g,i,y,o,v,t,b,l,$,V,SG,1,FUT	n,g,i,y,o,v,u,m,a
v,u,m,a,&,c,b,m,a,#,n,g,a,c,b,m,a,$,V,SG,1,PST+RMT	n,g,a,v,u,m,a
v,u,m,a,&,v,u,m,e,#,n,g,i,v,u,m,e,$,V,SG,1,PRS	n,g,i,v,u,m,a
v,u,m,a,&,v,u,d,a,#,n,g,i,z,o,v,u,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,m,a
v,u,m,a,&,v,u,q,a,#,n,g,i,v,u,q,e,$,V,SG,1,PST+RCT	n,g,i,v,u,m,e
a,w,n,h,z,&,m,w,o,h,z,#,m,w,o,h,z,$,COPY	a,w,n,h,z
a,w,n,h,z,&,a,w,n,m,z,#,n,g,i,y,o,a,w,n,m,z,$,V,SG,1,FUT	n,g,i,y,o,a,w,n,h,z
f,u,n,d,a,&,f,m,s,d,a,#,n,g,i,f,m,s,d,a,$,V,SG,1,PRS	n,g,i,f,u,n,d,a
p,z,n,d,a,&,i,z,q,d,l,#,i,z,q,d,l,$,COPY	p,z,n,d,a
p,z,n,d,a,&,c,z,n,d,a,#,n,g,i,z,o,c,z,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,z,n,d,a
v,g,n,d,a,&,v,g,n,d,l,#,v,g,n,d,l,$,COPY	v,g,n,d,a
v,g,n,d,a,&,v,l,n,d,a,#,n,g,i,v,l,n,d,e,$,V,SG,1,PST+RCT	n,g,i,v,g,n,d,e
e,u,n,k,a,&,e,u,w,k,b,#,e,u,w,k,b,$,COPY	e,u,n,k,a
e,u,n,k,a,&,e,b,n,k,a,#,n,g,a,e,b,n,k,a,$,V,SG,1,PST+RMT	n,g,a,e,u,n,k,a
p,h,i,n,c,a,&,p,h,i,j,c,a,#,p,h,i,j,c,a,$,COPY	p,h,i,n,c,a
p,h,i,n,c,a,&,p,d,b,y,c,a,#,n,g,a,p,d,b,y,c,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,n,c,a
p,m,b,p,d,a,&,p,m,b,f,d,a,#,p,m,b,f,d,a,$,COPY	p,m,b,p,d,a
p,m,b,p,d,a,&,p,g,b,v,d,a,#,n,g,i,z,o,p,g,b,v,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,m,b,p,d,a
p,l,w,j,d,a,&,p,f,w,j,d,a,#,p,f,w,j,d,a,$,COPY	p,l,w,j,d,a
p,l,w,j,d,a,&,p,l,w,h,b,a,#,n,g,i,y,o,p,l,w,h,b,a,$,V,SG,1,FUT	n,g,i,y,o,p,l,w,j,d,a
p,b,i,n,p,a,&,p,b,l,n,p,a,#,p,b,l,n,p,a,$,COPY	p,b,i,n,p,a
p,b,i,n,p,a,&,p,d,i,n,p,a,#,n,g,i,p,d,i,n,p,a,$,V,SG,1,PRS	n,g,i,p,b,i,n,p,a
