s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
r,a,n,g,a,r,i,r,a,&,r,a,t,k,a,r,i,h,a,#,n,d,i,n,o,r,a,t,k,a,r,i,h,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,i,g,a,r,i,z,a,#,a,n,o,r,a,i,g,a,r,i,z,a,$,V,SG,3,PRS	a,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,f,g,m,r,i,e,a,#,v,a,n,o,r,a,f,g,m,r,i,e,a,$,V,PL,3,PRS	v,a,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,u,n,y,r,i,r,a,#,n,d,i,r,i,k,u,r,a,u,n,y,r,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,a,u,a,r,c,r,a,#,n,d,a,r,a,a,u,a,r,c,r,a,$,V,SG,1,HOD	n,d,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,d,a,r,i,r,a,#,v,a,k,a,r,a,n,d,a,r,i,r,a,$,V,PL,3,PST	v,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,k,a,r,k,i,a,#,v,a,r,i,k,u,r,a,n,k,a,r,k,i,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,n,g,a,r,i,r,a
m,u,k,a,&,i,u,k,p,#,i,u,k,p,$,COPY	m,u,k,a
m,u,k,a,&,m,u,r,a,#,v,a,c,h,a,m,u,r,a,$,V,PL,3,FUT	v,a,c,h,a,m,u,k,a
m,u,k,a,&,m,u,b,a,#,w,a,m,u,b,a,$,V,SG,2,HOD	w,a,m,u,k,a
m,u,k,a,&,m,u,n,a,#,n,d,i,n,o,m,u,n,a,$,V,SG,1,PRS	n,d,i,n,o,m,u,k,a
m,u,k,a,&,m,k,e,a,#,n,d,i,r,i,k,u,m,k,e,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,m,u,k,a
m,u,k,a,&,m,u,v,a,#,m,u,n,o,m,u,v,a,$,V,PL,2,PRS	m,u,n,o,m,u,k,a
m,u,k,a,&,v,u,k,a,#,v,a,r,i,k,u,v,u,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,m,u,k,a
m,u,k,a,&,f,u,s,a,#,a,r,i,k,u,f,u,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,m,u,k,a
m,u,k,a,&,w,u,k,a,#,w,a,k,a,w,u,k,a,$,V,SG,2,PST	w,a,k,a,m,u,k,a
m,u,k,a,&,m,c,k,a,#,u,n,o,m,c,k,a,$,V,SG,2,PRS	u,n,o,m,u,k,a
m,u,k,a,&,u,u,g,a,#,a,u,u,g,a,$,V,SG,3,HOD	a,m,u,k,a
m,u,k,a,&,m,u,o,a,#,n,d,i,c,h,a,m,u,o,a,$,V,SG,1,FUT	n,d,i,c,h,a,m,u,k,a
m,u,k,a,&,b,a,k,a,#,a,k,a,b,a,k,a,$,V,SG,3,PST	a,k,a,m,u,k,a
m,u,k,a,&,m,v,k,a,#,u,c,h,a,m,v,k,a,$,V,SG,2,FUT	u,c,h,a,m,u,k,a
m,u,k,a,&,e,s,k,h,#,t,i,r,i,k,u,e,s,k,h,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,m,u,k,a
m,u,k,a,&,m,u,n,a,#,m,u,r,i,k,u,m,u,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,m,u,k,a
m,u,k,a,&,u,u,k,c,#,t,i,n,o,u,u,k,c,$,V,PL,1,PRS	t,i,n,o,m,u,k,a
m,u,k,a,&,m,f,k,y,#,u,r,i,k,u,m,f,k,y,$,V,PROG,SG,2,PRS	u,r,i,k,u,m,u,k,a
m,u,k,a,&,m,u,y,a,#,n,d,a,k,a,m,u,y,a,$,V,SG,1,PST	n,d,a,k,a,m,u,k,a
m,u,k,a,&,m,u,k,t,#,v,a,n,o,m,u,k,t,$,V,PL,3,PRS	v,a,n,o,m,u,k,a
m,u,k,a,&,s,u,k,a,#,t,a,s,u,k,a,$,V,PL,1,HOD	t,a,m,u,k,a
m,u,k,a,&,n,u,k,a,#,m,a,n,u,k,a,$,V,PL,2,HOD	m,a,m,u,k,a
m,u,k,a,&,z,u,k,a,#,a,c,h,a,z,u,k,a,$,V,SG,3,FUT	a,c,h,a,m,u,k,a
m,u,k,a,&,m,u,k,k,#,a,n,o,m,u,k,k,$,V,SG,3,PRS	a,n,o,m,u,k,a
m,u,k,a,&,m,u,u,a,#,t,a,k,a,m,u,u,a,$,V,PL,1,PST	t,a,k,a,m,u,k,a
m,u,k,a,&,m,u,k,d,#,m,a,k,a,m,u,k,d,$,V,PL,2,PST	m,a,k,a,m,u,k,a
m,u,k,a,&,m,u,y,a,#,n,d,a,m,u,y,a,$,V,SG,1,HOD	n,d,a,m,u,k,a
m,u,k,a,&,c,v,k,a,#,m,u,c,h,a,c,v,k,a,$,V,PL,2,FUT	m,u,c,h,a,m,u,k,a
m,u,k,a,&,m,u,k,b,#,v,a,m,u,k,b,$,V,PL,3,HOD	v,a,m,u,k,a
m,u,k,a,&,m,u,k,w,#,t,i,c,h,a,m,u,k,w,$,V,PL,1,FUT	t,i,c,h,a,m,u,k,a
m,u,k,a,&,m,u,s,a,#,v,a,k,a,m,u,s,a,$,V,PL,3,PST	v,a,k,a,m,u,k,a
w,o,n,a,&,w,v,o,a,#,w,v,o,a,$,COPY	w,o,n,a
w,o,n,a,&,g,o,n,a,#,a,n,o,g,o,n,a,$,V,SG,3,PRS	a,n,o,w,o,n,a
w,o,n,a,&,w,i,n,a,#,t,i,c,h,a,w,i,n,a,$,V,PL,1,FUT	t,i,c,h,a,w,o,n,a
w,o,n,a,&,w,f,n,a,#,v,a,n,o,w,f,n,a,$,V,PL,3,PRS	v,a,n,o,w,o,n,a
w,o,n,a,&,w,e,n,a,#,m,u,c,h,a,w,e,n,a,$,V,PL,2,FUT	m,u,c,h,a,w,o,n,a
w,o,n,a,&,k,o,n,a,#,a,c,h,a,k,o,n,a,$,V,SG,3,FUT	a,c,h,a,w,o,n,a
w,o,n,a,&,b,m,n,a,#,m,a,k,a,b,m,n,a,$,V,PL,2,PST	m,a,k,a,w,o,n,a
w,o,n,a,&,w,o,a,a,#,v,a,c,h,a,w,o,a,a,$,V,PL,3,FUT	v,a,c,h,a,w,o,n,a
w,o,n,a,&,w,o,y,v,#,m,a,w,o,y,v,$,V,PL,2,HOD	m,a,w,o,n,a
w,o,n,a,&,w,a,n,a,#,u,c,h,a,w,a,n,a,$,V,SG,2,FUT	u,c,h,a,w,o,n,a
w,o,n,a,&,w,r,t,a,#,a,r,i,k,u,w,r,t,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,w,o,n,a
w,o,n,a,&,f,o,n,e,#,v,a,f,o,n,e,$,V,PL,3,HOD	v,a,w,o,n,a
w,o,n,a,&,w,o,w,a,#,t,i,r,i,k,u,w,o,w,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,w,o,n,a
w,o,n,a,&,w,o,t,a,#,n,d,a,k,a,w,o,t,a,$,V,SG,1,PST	n,d,a,k,a,w,o,n,a
w,o,n,a,&,i,y,t,b,#,u,r,i,k,u,i,y,t,b,$,V,PROG,SG,2,PRS	u,r,i,k,u,w,o,n,a
w,o,n,a,&,r,o,n,e,#,n,d,a,r,o,n,e,$,V,SG,1,HOD	n,d,a,w,o,n,a
w,o,n,a,&,w,c,n,v,#,a,w,c,n,v,$,V,SG,3,HOD	a,w,o,n,a
w,o,n,a,&,n,o,e,a,#,m,u,r,i,k,u,n,o,e,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,w,o,n,a
w,o,n,a,&,s,o,n,a,#,t,a,k,a,s,o,n,a,$,V,PL,1,PST	t,a,k,a,w,o,n,a
w,o,n,a,&,w,o,f,a,#,t,a,w,o,f,a,$,V,PL,1,HOD	t,a,w,o,n,a
w,o,n,a,&,w,o,n,e,#,v,a,r,i,k,u,w,o,n,e,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,w,o,n,a
w,o,n,a,&,w,o,b,a,#,v,a,k,a,w,o,b,a,$,V,PL,3,PST	v,a,k,a,w,o,n,a
w,o,n,a,&,w,p,n,a,#,n,d,i,r,i,k,u,w,p,n,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,w,o,n,a
w,o,n,a,&,w,o,n,h,#,a,k,a,w,o,n,h,$,V,SG,3,PST	a,k,a,w,o,n,a
w,o,n,a,&,w,o,n,g,#,u,n,o,w,o,n,g,$,V,SG,2,PRS	u,n,o,w,o,n,a
w,o,n,a,&,n,o,n,a,#,t,i,n,o,n,o,n,a,$,V,PL,1,PRS	t,i,n,o,w,o,n,a
w,o,n,a,&,f,o,n,w,#,n,d,i,c,h,a,f,o,n,w,$,V,SG,1,FUT	n,d,i,c,h,a,w,o,n,a
w,o,n,a,&,w,p,y,a,#,n,d,i,n,o,w,p,y,a,$,V,SG,1,PRS	n,d,i,n,o,w,o,n,a
w,o,n,a,&,y,o,n,a,#,w,a,y,o,n,a,$,V,SG,2,HOD	w,a,w,o,n,a
w,o,n,a,&,w,o,o,a,#,w,a,k,a,w,o,o,a,$,V,SG,2,PST	w,a,k,a,w,o,n,a
w,o,n,a,&,w,o,g,a,#,m,u,n,o,w,o,g,a,$,V,PL,2,PRS	m,u,n,o,w,o,n,a
d,z,o,k,a,&,d,z,r,k,a,#,d,z,r,k,a,$,COPY	d,z,o,k,a
d,z,o,k,a,&,d,z,o,o,a,#,u,c,h,a,d,z,o,o,a,$,V,SG,2,FUT	u,c,h,a,d,z,o,k,a
d,z,o,k,a,&,d,z,o,i,a,#,m,a,d,z,o,i,a,$,V,PL,2,HOD	m,a,d,z,o,k,a
d,z,o,k,a,&,o,s,o,k,a,#,t,i,r,i,k,u,o,s,o,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,z,o,k,a
d,z,o,k,a,&,d,z,t,k,a,#,v,a,n,o,d,z,t,k,a,$,V,PL,3,PRS	v,a,n,o,d,z,o,k,a
d,z,o,k,a,&,d,w,o,e,a,#,m,u,n,o,d,w,o,e,a,$,V,PL,2,PRS	m,u,n,o,d,z,o,k,a
d,z,o,k,a,&,d,v,i,k,c,#,n,d,i,c,h,a,d,v,i,k,c,$,V,SG,1,FUT	n,d,i,c,h,a,d,z,o,k,a
d,z,o,k,a,&,d,z,o,i,a,#,m,u,c,h,a,d,z,o,i,a,$,V,PL,2,FUT	m,u,c,h,a,d,z,o,k,a
d,z,o,k,a,&,d,z,m,s,a,#,n,d,a,k,a,d,z,m,s,a,$,V,SG,1,PST	n,d,a,k,a,d,z,o,k,a
d,z,o,k,a,&,d,z,e,k,m,#,a,r,i,k,u,d,z,e,k,m,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,z,o,k,a
d,z,o,k,a,&,g,z,o,k,a,#,t,a,k,a,g,z,o,k,a,$,V,PL,1,PST	t,a,k,a,d,z,o,k,a
d,z,o,k,a,&,d,z,o,n,a,#,v,a,d,z,o,n,a,$,V,PL,3,HOD	v,a,d,z,o,k,a
d,z,o,k,a,&,f,e,p,k,a,#,n,d,a,f,e,p,k,a,$,V,SG,1,HOD	n,d,a,d,z,o,k,a
d,z,o,k,a,&,v,z,o,k,a,#,t,a,v,z,o,k,a,$,V,PL,1,HOD	t,a,d,z,o,k,a
d,z,o,k,a,&,d,e,o,w,a,#,a,c,h,a,d,e,o,w,a,$,V,SG,3,FUT	a,c,h,a,d,z,o,k,a
d,z,o,k,a,&,d,w,z,k,k,#,u,n,o,d,w,z,k,k,$,V,SG,2,PRS	u,n,o,d,z,o,k,a
d,z,o,k,a,&,f,z,o,k,a,#,v,a,r,i,k,u,f,z,o,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,z,o,k,a
d,z,o,k,a,&,d,z,t,k,a,#,t,i,c,h,a,d,z,t,k,a,$,V,PL,1,FUT	t,i,c,h,a,d,z,o,k,a
d,z,o,k,a,&,d,z,o,a,h,#,n,d,i,n,o,d,z,o,a,h,$,V,SG,1,PRS	n,d,i,n,o,d,z,o,k,a
d,z,o,k,a,&,d,z,o,o,a,#,n,d,i,r,i,k,u,d,z,o,o,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,z,o,k,a
d,z,o,k,a,&,h,z,i,k,a,#,a,h,z,i,k,a,$,V,SG,3,HOD	a,d,z,o,k,a
d,z,o,k,a,&,d,s,g,i,a,#,u,r,i,k,u,d,s,g,i,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,z,o,k,a
d,z,o,k,a,&,s,z,o,k,c,#,a,n,o,s,z,o,k,c,$,V,SG,3,PRS	a,n,o,d,z,o,k,a
d,z,o,k,a,&,d,z,e,k,a,#,m,a,k,a,d,z,e,k,a,$,V,PL,2,PST	m,a,k,a,d,z,o,k,a
d,z,o,k,a,&,d,y,b,k,a,#,t,i,n,o,d,y,b,k,a,$,V,PL,1,PRS	t,i,n,o,d,z,o,k,a
d,z,o,k,a,&,y,z,o,k,a,#,v,a,k,a,y,z,o,k,a,$,V,PL,3,PST	v,a,k,a,d,z,o,k,a
d,z,o,k,a,&,h,z,i,k,a,#,a,k,a,h,z,i,k,a,$,V,SG,3,PST	a,k,a,d,z,o,k,a
d,z,o,k,a,&,d,z,o,k,e,#,m,u,r,i,k,u,d,z,o,k,e,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,z,o,k,a
d,z,o,k,a,&,d,z,f,k,a,#,w,a,k,a,d,z,f,k,a,$,V,SG,2,PST	w,a,k,a,d,z,o,k,a
d,z,o,k,a,&,d,z,o,k,b,#,w,a,d,z,o,k,b,$,V,SG,2,HOD	w,a,d,z,o,k,a
d,z,o,k,a,&,h,z,o,k,a,#,v,a,c,h,a,h,z,o,k,a,$,V,PL,3,FUT	v,a,c,h,a,d,z,o,k,a
t,e,n,g,a,&,t,o,n,g,a,#,t,o,n,g,a,$,COPY	t,e,n,g,a
t,e,n,g,a,&,e,y,e,g,a,#,w,a,e,y,e,g,a,$,V,SG,2,HOD	w,a,t,e,n,g,a
t,e,n,g,a,&,t,w,v,g,a,#,t,a,k,a,t,w,v,g,a,$,V,PL,1,PST	t,a,k,a,t,e,n,g,a
t,e,n,g,a,&,t,e,o,g,a,#,v,a,n,o,t,e,o,g,a,$,V,PL,3,PRS	v,a,n,o,t,e,n,g,a
t,e,n,g,a,&,p,e,n,g,a,#,n,d,a,p,e,n,g,a,$,V,SG,1,HOD	n,d,a,t,e,n,g,a
t,e,n,g,a,&,t,e,n,m,a,#,t,i,r,i,k,u,t,e,n,m,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,e,n,g,a
t,e,n,g,a,&,t,e,u,g,a,#,n,d,i,n,o,t,e,u,g,a,$,V,SG,1,PRS	n,d,i,n,o,t,e,n,g,a
t,e,n,g,a,&,t,e,n,g,u,#,m,a,k,a,t,e,n,g,u,$,V,PL,2,PST	m,a,k,a,t,e,n,g,a
t,e,n,g,a,&,t,p,n,d,a,#,m,u,n,o,t,p,n,d,a,$,V,PL,2,PRS	m,u,n,o,t,e,n,g,a
t,e,n,g,a,&,t,k,n,g,a,#,n,d,i,r,i,k,u,t,k,n,g,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,e,n,g,a
t,e,n,g,a,&,t,e,n,e,u,#,n,d,i,c,h,a,t,e,n,e,u,$,V,SG,1,FUT	n,d,i,c,h,a,t,e,n,g,a
t,e,n,g,a,&,t,e,f,g,a,#,u,r,i,k,u,t,e,f,g,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,e,n,g,a
t,e,n,g,a,&,g,v,n,g,z,#,m,u,r,i,k,u,g,v,n,g,z,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,e,n,g,a
t,e,n,g,a,&,t,g,n,g,a,#,t,a,t,g,n,g,a,$,V,PL,1,HOD	t,a,t,e,n,g,a
t,e,n,g,a,&,o,e,n,g,a,#,v,a,o,e,n,g,a,$,V,PL,3,HOD	v,a,t,e,n,g,a
t,e,n,g,a,&,t,w,n,g,a,#,a,r,i,k,u,t,w,n,g,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,e,n,g,a
t,e,n,g,a,&,t,e,h,g,c,#,t,i,n,o,t,e,h,g,c,$,V,PL,1,PRS	t,i,n,o,t,e,n,g,a
t,e,n,g,a,&,t,e,n,g,z,#,u,n,o,t,e,n,g,z,$,V,SG,2,PRS	u,n,o,t,e,n,g,a
t,e,n,g,a,&,e,e,n,g,a,#,u,c,h,a,e,e,n,g,a,$,V,SG,2,FUT	u,c,h,a,t,e,n,g,a
t,e,n,g,a,&,d,e,n,d,a,#,v,a,k,a,d,e,n,d,a,$,V,PL,3,PST	v,a,k,a,t,e,n,g,a
t,e,n,g,a,&,t,e,t,g,a,#,a,c,h,a,t,e,t,g,a,$,V,SG,3,FUT	a,c,h,a,t,e,n,g,a
t,e,n,g,a,&,t,e,c,g,a,#,w,a,k,a,t,e,c,g,a,$,V,SG,2,PST	w,a,k,a,t,e,n,g,a
t,e,n,g,a,&,t,e,f,g,a,#,a,n,o,t,e,f,g,a,$,V,SG,3,PRS	a,n,o,t,e,n,g,a
t,e,n,g,a,&,o,e,n,g,a,#,m,u,c,h,a,o,e,n,g,a,$,V,PL,2,FUT	m,u,c,h,a,t,e,n,g,a
t,e,n,g,a,&,t,e,c,g,a,#,v,a,r,i,k,u,t,e,c,g,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,e,n,g,a
t,e,n,g,a,&,t,e,c,i,n,#,a,k,a,t,e,c,i,n,$,V,SG,3,PST	a,k,a,t,e,n,g,a
t,e,n,g,a,&,t,g,n,g,a,#,t,i,c,h,a,t,g,n,g,a,$,V,PL,1,FUT	t,i,c,h,a,t,e,n,g,a
t,e,n,g,a,&,i,e,n,n,g,#,m,a,i,e,n,n,g,$,V,PL,2,HOD	m,a,t,e,n,g,a
t,e,n,g,a,&,o,e,n,g,d,#,n,d,a,k,a,o,e,n,g,d,$,V,SG,1,PST	n,d,a,k,a,t,e,n,g,a
t,e,n,g,a,&,t,e,n,k,v,#,v,a,c,h,a,t,e,n,k,v,$,V,PL,3,FUT	v,a,c,h,a,t,e,n,g,a
t,e,n,g,a,&,u,a,v,g,a,#,a,u,a,v,g,a,$,V,SG,3,HOD	a,t,e,n,g,a
t,a,u,r,a,&,t,a,u,y,a,#,t,a,u,y,a,$,COPY	t,a,u,r,a
t,a,u,r,a,&,h,a,u,r,n,#,a,h,a,u,r,n,$,V,SG,3,HOD	a,t,a,u,r,a
t,a,u,r,a,&,e,a,h,r,a,#,m,a,e,a,h,r,a,$,V,PL,2,HOD	m,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,e,a,#,m,u,r,i,k,u,t,a,u,e,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,u,r,a
t,a,u,r,a,&,t,e,i,r,a,#,m,u,c,h,a,t,e,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,u,r,a
t,a,u,r,a,&,r,a,n,r,u,#,u,r,i,k,u,r,a,n,r,u,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,u,r,a
t,a,u,r,a,&,a,a,u,r,a,#,n,d,i,c,h,a,a,a,u,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,r,u,#,t,i,c,h,a,t,a,u,r,u,$,V,PL,1,FUT	t,i,c,h,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,r,u,#,u,c,h,a,t,a,u,r,u,$,V,SG,2,FUT	u,c,h,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,r,g,#,n,d,a,t,a,u,r,g,$,V,SG,1,HOD	n,d,a,t,a,u,r,a
t,a,u,r,a,&,t,v,u,v,a,#,v,a,n,o,t,v,u,v,a,$,V,PL,3,PRS	v,a,n,o,t,a,u,r,a
t,a,u,r,a,&,t,a,u,d,a,#,v,a,k,a,t,a,u,d,a,$,V,PL,3,PST	v,a,k,a,t,a,u,r,a
t,a,u,r,a,&,h,v,s,r,a,#,t,i,n,o,h,v,s,r,a,$,V,PL,1,PRS	t,i,n,o,t,a,u,r,a
t,a,u,r,a,&,t,a,u,o,a,#,t,a,k,a,t,a,u,o,a,$,V,PL,1,PST	t,a,k,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,r,r,#,m,u,n,o,t,a,u,r,r,$,V,PL,2,PRS	m,u,n,o,t,a,u,r,a
t,a,u,r,a,&,k,m,u,r,a,#,a,c,h,a,k,m,u,r,a,$,V,SG,3,FUT	a,c,h,a,t,a,u,r,a
t,a,u,r,a,&,t,a,o,r,a,#,n,d,a,k,a,t,a,o,r,a,$,V,SG,1,PST	n,d,a,k,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,p,v,#,w,a,t,a,u,p,v,$,V,SG,2,HOD	w,a,t,a,u,r,a
t,a,u,r,a,&,t,u,u,r,h,#,a,n,o,t,u,u,r,h,$,V,SG,3,PRS	a,n,o,t,a,u,r,a
t,a,u,r,a,&,z,a,u,u,a,#,n,d,i,n,o,z,a,u,u,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,u,r,a
t,a,u,r,a,&,t,a,c,r,a,#,t,a,t,a,c,r,a,$,V,PL,1,HOD	t,a,t,a,u,r,a
t,a,u,r,a,&,w,a,u,r,a,#,m,a,k,a,w,a,u,r,a,$,V,PL,2,PST	m,a,k,a,t,a,u,r,a
t,a,u,r,a,&,i,a,g,r,a,#,n,d,i,r,i,k,u,i,a,g,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,u,r,a
t,a,u,r,a,&,t,a,z,r,a,#,a,r,i,k,u,t,a,z,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,u,r,a
t,a,u,r,a,&,t,a,a,r,a,#,t,i,r,i,k,u,t,a,a,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,u,r,a
t,a,u,r,a,&,e,a,u,r,w,#,v,a,c,h,a,e,a,u,r,w,$,V,PL,3,FUT	v,a,c,h,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,o,a,#,v,a,r,i,k,u,t,a,u,o,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,u,r,a
t,a,u,r,a,&,t,t,i,r,w,#,w,a,k,a,t,t,i,r,w,$,V,SG,2,PST	w,a,k,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,t,a,#,a,k,a,t,a,u,t,a,$,V,SG,3,PST	a,k,a,t,a,u,r,a
t,a,u,r,a,&,t,a,u,b,b,#,v,a,t,a,u,b,b,$,V,PL,3,HOD	v,a,t,a,u,r,a
t,a,u,r,a,&,m,a,u,v,a,#,u,n,o,m,a,u,v,a,$,V,SG,2,PRS	u,n,o,t,a,u,r,a
b,u,d,a,&,b,u,d,r,#,b,u,d,r,$,COPY	b,u,d,a
b,u,d,a,&,r,y,b,a,#,u,r,i,k,u,r,y,b,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,b,u,d,a
b,u,d,a,&,a,u,z,a,#,a,k,a,a,u,z,a,$,V,SG,3,PST	a,k,a,b,u,d,a
b,u,d,a,&,n,h,d,a,#,m,u,n,o,n,h,d,a,$,V,PL,2,PRS	m,u,n,o,b,u,d,a
b,u,d,a,&,b,u,d,y,#,v,a,n,o,b,u,d,y,$,V,PL,3,PRS	v,a,n,o,b,u,d,a
b,u,d,a,&,b,u,s,a,#,a,r,i,k,u,b,u,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,b,u,d,a
b,u,d,a,&,b,n,d,a,#,t,a,k,a,b,n,d,a,$,V,PL,1,PST	t,a,k,a,b,u,d,a
b,u,d,a,&,b,u,d,d,#,m,a,k,a,b,u,d,d,$,V,PL,2,PST	m,a,k,a,b,u,d,a
b,u,d,a,&,b,e,d,a,#,n,d,a,b,e,d,a,$,V,SG,1,HOD	n,d,a,b,u,d,a
b,u,d,a,&,y,u,d,a,#,v,a,r,i,k,u,y,u,d,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,u,d,a
b,u,d,a,&,r,n,d,a,#,a,c,h,a,r,n,d,a,$,V,SG,3,FUT	a,c,h,a,b,u,d,a
b,u,d,a,&,b,u,g,a,#,a,b,u,g,a,$,V,SG,3,HOD	a,b,u,d,a
b,u,d,a,&,o,u,p,a,#,m,u,r,i,k,u,o,u,p,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,u,d,a
b,u,d,a,&,h,u,d,r,#,m,a,h,u,d,r,$,V,PL,2,HOD	m,a,b,u,d,a
b,u,d,a,&,m,n,h,e,#,v,a,k,a,m,n,h,e,$,V,PL,3,PST	v,a,k,a,b,u,d,a
b,u,d,a,&,b,i,d,a,#,w,a,k,a,b,i,d,a,$,V,SG,2,PST	w,a,k,a,b,u,d,a
b,u,d,a,&,y,u,d,a,#,w,a,y,u,d,a,$,V,SG,2,HOD	w,a,b,u,d,a
b,u,d,a,&,b,a,d,i,#,v,a,b,a,d,i,$,V,PL,3,HOD	v,a,b,u,d,a
b,u,d,a,&,f,u,d,a,#,n,d,i,n,o,f,u,d,a,$,V,SG,1,PRS	n,d,i,n,o,b,u,d,a
b,u,d,a,&,b,z,d,c,#,t,i,r,i,k,u,b,z,d,c,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,b,u,d,a
b,u,d,a,&,y,p,d,p,#,t,a,y,p,d,p,$,V,PL,1,HOD	t,a,b,u,d,a
b,u,d,a,&,z,u,d,a,#,t,i,n,o,z,u,d,a,$,V,PL,1,PRS	t,i,n,o,b,u,d,a
b,u,d,a,&,b,u,a,a,#,u,c,h,a,b,u,a,a,$,V,SG,2,FUT	u,c,h,a,b,u,d,a
b,u,d,a,&,z,u,d,a,#,n,d,i,c,h,a,z,u,d,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,u,d,a
b,u,d,a,&,i,o,d,y,#,n,d,i,r,i,k,u,i,o,d,y,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,u,d,a
b,u,d,a,&,b,t,d,a,#,v,a,c,h,a,b,t,d,a,$,V,PL,3,FUT	v,a,c,h,a,b,u,d,a
b,u,d,a,&,p,r,d,a,#,n,d,a,k,a,p,r,d,a,$,V,SG,1,PST	n,d,a,k,a,b,u,d,a
b,u,d,a,&,b,u,f,a,#,u,n,o,b,u,f,a,$,V,SG,2,PRS	u,n,o,b,u,d,a
b,u,d,a,&,e,u,e,a,#,m,u,c,h,a,e,u,e,a,$,V,PL,2,FUT	m,u,c,h,a,b,u,d,a
b,u,d,a,&,u,f,d,a,#,t,i,c,h,a,u,f,d,a,$,V,PL,1,FUT	t,i,c,h,a,b,u,d,a
b,u,d,a,&,d,o,d,y,#,a,n,o,d,o,d,y,$,V,SG,3,PRS	a,n,o,b,u,d,a
i,n,z,w,a,&,i,n,z,w,s,#,i,n,z,w,s,$,COPY	i,n,z,w,a
i,n,z,w,a,&,i,n,s,w,a,#,a,r,i,k,u,n,s,w,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,n,z,w,a
i,n,z,w,a,&,i,d,z,w,v,#,n,d,a,k,a,d,z,w,v,$,V,SG,1,PST	n,d,a,k,a,n,z,w,a
i,n,z,w,a,&,i,n,k,w,n,#,m,u,n,o,n,k,w,n,$,V,PL,2,PRS	m,u,n,o,n,z,w,a
