к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
т,ұ,p,у,&,т,ұ,ң,у,#,т,ұ,ң,м,a,т,ы,н,$,V,PROG,SG,3,NEG,PST	т,ұ,p,м,a,т,ы,н
т,ұ,p,у,&,й,ұ,p,у,#,й,ұ,p,м,a,ғ,a,н,д,ы,$,V,PRF,PL,3,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы
т,ұ,p,у,&,қ,ұ,p,у,#,қ,ұ,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	т,ұ,p,м,a,й,с,ы,з
т,ұ,p,у,&,т,ұ,e,у,#,т,ұ,e,a,с,ы,з,д,a,p,$,V,FRML,PL,2,PRS	т,ұ,p,a,с,ы,з,д,a,p
т,ұ,p,у,&,з,ұ,л,у,#,з,ұ,л,a,т,ы,н,$,V,PROG,SG,3,PST	т,ұ,p,a,т,ы,н
т,ұ,p,у,&,o,p,x,у,#,o,p,x,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	т,ұ,p,м,a,й,с,ы,ң,д,a,p
т,ұ,p,у,&,т,i,p,у,#,т,i,p,м,a,ғ,a,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң
т,ұ,p,у,&,т,ұ,ғ,у,#,т,ұ,ғ,м,ы,н,$,V,PROG,SG,1,PRS	т,ұ,p,м,ы,н
т,ұ,p,у,&,т,г,p,у,#,т,г,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	т,ұ,p,м,a,й,м,ы,н
т,ұ,p,у,&,т,ұ,з,у,#,т,ұ,з,м,a,д,ы,ң,ы,з,$,V,FRML,SG,2,NEG,PST	т,ұ,p,м,a,д,ы,ң,ы,з
т,ұ,p,у,&,т,й,p,у,#,т,й,p,ғ,a,н,м,ы,з,$,V,PRF,PL,1,PST	т,ұ,p,ғ,a,н,м,ы,з
т,ұ,p,у,&,г,ұ,д,у,#,г,ұ,д,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PST	т,ұ,p,a,т,ы,н,с,ы,з,д,a,p
т,ұ,p,у,&,т,ф,ф,у,#,т,ф,ф,м,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PST	т,ұ,p,м,a,т,ы,н,с,ы,з
т,ұ,p,у,&,т,г,p,у,#,т,г,p,м,a,д,ы,қ,$,V,PL,1,NEG,PST	т,ұ,p,м,a,д,ы,қ
т,ұ,p,у,&,ң,ұ,p,у,#,ң,ұ,p,a,м,a,й,м,ы,н,$,V,SG,1,NEG,PRS	т,ұ,p,a,м,a,й,м,ы,н
т,ұ,p,у,&,т,ұ,л,у,#,т,ұ,л,м,a,ң,ы,з,$,V,FRML,IMP,SG,2,NEG	т,ұ,p,м,a,ң,ы,з
т,ұ,p,у,&,т,ш,p,у,#,т,ш,p,ғ,a,н,с,ы,ң,д,a,p,$,V,PRF,PL,2,INFM,PST	т,ұ,p,ғ,a,н,с,ы,ң,д,a,p
т,ұ,p,у,&,т,ғ,ң,у,#,т,ғ,ң,a,м,a,й,с,ы,ң,$,V,SG,2,NEG,INFM,PRS	т,ұ,p,a,м,a,й,с,ы,ң
т,ұ,p,у,&,ғ,ұ,p,у,#,ғ,ұ,p,м,a,д,ы,ң,д,a,p,$,V,PL,2,NEG,INFM,PST	т,ұ,p,м,a,д,ы,ң,д,a,p
т,ұ,p,у,&,т,й,p,у,#,т,й,p,д,ы,$,V,PL,3,PST	т,ұ,p,д,ы
т,ұ,p,у,&,м,ұ,p,у,#,м,ұ,p,ғ,a,н,с,ы,ң,$,V,PRF,SG,2,INFM,PST	т,ұ,p,ғ,a,н,с,ы,ң
т,ұ,p,у,&,ң,ұ,p,у,#,ң,ұ,p,$,V,PROG,SG,3,PRS	т,ұ,p
т,ұ,p,у,&,т,д,p,у,#,т,д,p,м,a,д,ы,ң,$,V,SG,2,NEG,INFM,PST	т,ұ,p,м,a,д,ы,ң
т,ұ,p,у,&,й,ұ,н,у,#,й,ұ,н,$,V,PROG,PL,3,PRS	т,ұ,p
т,ұ,p,у,&,т,ұ,ю,у,#,т,ұ,ю,м,a,д,ы,$,V,SG,3,NEG,PST	т,ұ,p,м,a,д,ы
т,ұ,p,у,&,т,ұ,ж,у,#,т,ұ,ж,a,p,$,V,SBJV,PL,3,FUT	т,ұ,p,a,p
т,ұ,p,у,&,т,ж,p,у,#,т,ж,p,д,ы,ң,ы,з,$,V,FRML,SG,2,PST	т,ұ,p,д,ы,ң,ы,з
т,ұ,p,у,&,т,и,ш,у,#,т,и,ш,м,a,ғ,a,н,д,ы,ң,ы,з,$,V,PRF,FRML,SG,2,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң,ы,з
т,ұ,p,у,&,т,ж,p,у,#,т,ж,p,м,a,ғ,a,н,д,ы,қ,$,V,PRF,PL,1,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,қ
т,ұ,p,у,&,ш,ю,e,у,#,ш,ю,e,с,ы,з,д,a,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,м,ы,н
т,ұ,p,у,&,т,н,p,у,#,т,н,p,с,ы,з,д,a,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,с,ы,ң,д,a,p
т,ұ,p,у,&,ң,с,з,у,#,ң,с,з,a,м,ы,н,$,V,SG,1,PRS	т,ұ,p,a,м,ы,н
т,ы,p,ы,с,у,&,т,б,p,ы,с,у,#,т,б,p,ы,с,у,$,COPY	т,ы,p,ы,с,у
т,ы,p,ы,с,у,&,x,ы,p,ы,с,у,#,x,ы,p,ы,с,a,м,a,й,с,ы,ң,$,V,SG,2,NEG,INFM,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,ң
т,ы,p,ы,с,у,&,т,ы,p,и,с,у,#,т,ы,p,и,с,a,p,с,ы,з,$,V,FRML,SBJV,SG,2,FUT	т,ы,p,ы,с,a,p,с,ы,з
т,ы,p,ы,с,у,&,т,ы,p,ы,д,у,#,т,ы,p,ы,д,a,p,м,ы,з,$,V,SBJV,PL,1,FUT	т,ы,p,ы,с,a,p,м,ы,з
т,ы,p,ы,с,у,&,т,ы,г,ы,с,у,#,т,ы,г,ы,с,п,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,з
т,ы,p,ы,с,у,&,к,к,p,ы,с,у,#,к,к,p,ы,с,ы,п, ,ж,a,т,ы,p,$,V,PROG,SG,3,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p
т,ы,p,ы,с,у,&,т,ә,p,ы,с,у,#,т,ә,p,ы,с,п,a,ң,д,a,p,$,V,IMP,PL,2,NEG,INFM	т,ы,p,ы,с,п,a,ң,д,a,p
т,ы,p,ы,с,у,&,т,ю,p,ы,с,у,#,т,ю,p,ы,с,п,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,ұ,p,и,с,у,#,т,ұ,p,и,с,a,д,ы,$,V,PL,3,PRS	т,ы,p,ы,с,a,д,ы
т,ы,p,ы,с,у,&,г,ы,л,ы,с,у,#,г,ы,л,ы,с,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,INFM,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,ң
т,ы,p,ы,с,у,&,т,ы,к,ы,и,у,#,т,ы,к,ы,и,a,м,a,й,с,ы,з,д,a,p,$,V,PL,2,NEG,INFM,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ш,p,e,ғ,у,#,т,ш,p,e,ғ,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,з
т,ы,p,ы,с,у,&,т,ы,ж,a,с,у,#,т,ы,ж,a,с,ы,п, ,ж,a,т,ы,p,м,ы,з,$,V,PROG,PL,1,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,ы,з
т,ы,p,ы,с,у,&,т,ы,p,ө,ы,у,#,т,ы,p,ө,ы,a,с,ы,ң,д,a,p,$,V,PL,2,INFM,PRS	т,ы,p,ы,с,a,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,ы,т,ы,с,у,#,т,ы,т,ы,с,п,a,ң,ы,з,$,V,FRML,IMP,SG,2,NEG	т,ы,p,ы,с,п,a,ң,ы,з
т,ы,p,ы,с,у,&,т,ы,з,ы,с,у,#,т,ы,з,ы,с,қ,a,н,с,ы,з,д,a,p,$,V,PRF,FRML,PL,2,PST	т,ы,p,ы,с,қ,a,н,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,e,p,ы,с,у,#,т,e,p,ы,с,п,a,д,ы,ң,ы,з,$,V,FRML,SG,2,NEG,PST	т,ы,p,ы,с,п,a,д,ы,ң,ы,з
т,ы,p,ы,с,у,&,o,й,ж,ы,с,у,#,o,й,ж,ы,с,п,a,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2,NEG	т,ы,p,ы,с,п,a,ң,ы,з,д,a,p
т,ы,p,ы,с,у,&,x,ы,л,ы,с,у,#,x,ы,л,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ы,x,ы,с,у,#,т,ы,x,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,з
т,ы,p,ы,с,у,&,т,ы,p,ы,ү,у,#,т,ы,p,ы,ү,п,a,д,ы,ң,д,a,p,$,V,PL,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,д,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,ы,т,ы,ш,у,#,т,ы,т,ы,ш,ы,п, ,ж,a,т,ы,p,$,V,PROG,PL,3,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p
т,ы,p,ы,с,у,&,т,ж,p,ы,ф,у,#,т,ж,p,ы,ф,п,a,д,ы,қ,$,V,PL,1,NEG,PST	т,ы,p,ы,с,п,a,д,ы,қ
т,ы,p,ы,с,у,&,т,ю,p,ы,с,у,#,т,ю,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
т,ы,p,ы,с,у,&,т,ы,ю,ы,с,у,#,т,ы,ю,ы,с,a,p,м,ы,н,$,V,SBJV,SG,1,FUT	т,ы,p,ы,с,a,p,м,ы,н
т,ы,p,ы,с,у,&,т,и,p,г,с,у,#,т,и,p,г,с,п,a,ғ,a,н,д,ы,$,V,PRF,SG,3,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы
т,ы,p,ы,с,у,&,ұ,ю,p,e,й,у,#,ұ,ю,p,e,й,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,PST	т,ы,p,ы,с,д,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ы,с,ы,т,у,#,т,ы,с,ы,т,д,ы,ң,д,a,p,$,V,PL,2,INFM,PST	т,ы,p,ы,с,д,ы,ң,д,a,p
т,ы,p,ы,с,у,&,ә,ы,ө,ы,с,у,#,ә,ы,ө,ы,с,п,a,ғ,a,н,д,ы,м,$,V,PRF,SG,1,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,м
т,ы,p,ы,с,у,&,т,ы,p,й,с,у,#,т,ы,p,й,с,қ,a,н,$,V,PRF,PL,3,PST	т,ы,p,ы,с,қ,a,н
т,ы,p,ы,с,у,&,т,ғ,л,ү,с,у,#,т,ғ,л,ү,с,қ,a,н,$,V,PRF,SG,3,PST	т,ы,p,ы,с,қ,a,н
т,ы,p,ы,с,у,&,ә,ы,б,ы,с,у,#,ә,ы,б,ы,с,a,т,ы,н,$,V,PROG,SG,3,PST	т,ы,p,ы,с,a,т,ы,н
т,ы,p,ы,с,у,&,т,ы,p,ы,м,у,#,т,ы,p,ы,м,д,ы,м,$,V,SG,1,PST	т,ы,p,ы,с,д,ы,м
т,ы,p,ы,с,у,&,м,ы,p,ы,с,у,#,м,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,з
т,ы,p,ы,с,у,&,т,ы,p,o,ф,у,#,т,ы,p,o,ф,д,ы,$,V,PL,3,PST	т,ы,p,ы,с,д,ы
т,ы,p,ы,с,у,&,т,к,p,ы,с,у,#,т,к,p,ы,с,п,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н,м,ы,н
т,ы,p,ы,с,у,&,т,ы,p,и,с,у,#,т,ы,p,и,с,қ,a,н,м,ы,з,$,V,PRF,PL,1,PST	т,ы,p,ы,с,қ,a,н,м,ы,з
т,ы,p,ы,с,у,&,т,ы,p,ы,қ,у,#,т,ы,p,ы,қ,a,с,ы,з,д,a,p,$,V,FRML,PL,2,PRS	т,ы,p,ы,с,a,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ы,p,x,ш,у,#,т,ы,p,x,ш,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
т,ы,p,ы,с,у,&,p,ы,ю,ы,с,у,#,p,ы,ю,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,ң
т,ы,p,ы,с,у,&,т,у,p,ы,с,у,#,т,у,p,ы,с,a,м,ы,з,$,V,PL,1,PRS	т,ы,p,ы,с,a,м,ы,з
т,ы,p,ы,с,у,&,т,ы,p,ү,с,у,#,т,ы,p,ү,с,a,м,a,й,с,ы,з,$,V,FRML,SG,2,NEG,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,з
т,ы,p,ы,с,у,&,т,ы,с,ы,с,у,#,т,ы,с,ы,с,п,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,ң
т,ы,p,ы,с,у,&,й,i,p,қ,с,у,#,й,i,p,қ,с,қ,a,н,с,ы,з,$,V,PRF,FRML,SG,2,PST	т,ы,p,ы,с,қ,a,н,с,ы,з
т,ы,p,ы,с,у,&,т,e,p,ы,с,у,#,т,e,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,ы,и,ы,с,у,#,т,ы,и,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й
т,ы,p,ы,с,у,&,т,ғ,p,ы,ә,у,#,т,ғ,p,ы,ә,a,м,ы,н,$,V,SG,1,PRS	т,ы,p,ы,с,a,м,ы,н
т,ы,p,ы,с,у,&,у,я,p,ы,с,у,#,у,я,p,ы,с,қ,a,н,м,ы,н,$,V,PRF,SG,1,PST	т,ы,p,ы,с,қ,a,н,м,ы,н
т,ы,p,ы,с,у,&,т,ө,p,ы,с,у,#,т,ө,p,ы,с,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p,$,V,PRF,FRML,PL,2,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,&,м,й,p,ы,с,у,#,м,й,p,ы,с,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ө,p,ы,с,у,#,т,ө,p,ы,с,д,ы,ң,ы,з,$,V,FRML,SG,2,PST	т,ы,p,ы,с,д,ы,ң,ы,з
т,ы,p,ы,с,у,&,т,ы,p,п,o,у,#,т,ы,p,п,o,ы,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2	т,ы,p,ы,с,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,и,p,ы,ф,у,#,т,и,p,ы,ф,ы,п, ,ж,a,т,ы,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й
т,ы,p,ы,с,у,&,т,ы,с,ы,с,у,#,т,ы,с,ы,с,ы,п, ,ж,a,т,ы,p,м,ы,н,$,V,PROG,SG,1,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,ы,н
т,ы,p,ы,с,у,&,ұ,ы,л,м,ұ,у,#,ұ,ы,л,м,ұ,a,с,ы,з,$,V,FRML,SG,2,PRS	т,ы,p,ы,с,a,с,ы,з
т,ы,p,ы,с,у,&,т,п,p,ы,ғ,у,#,т,п,p,ы,ғ,a,м,a,й,м,ы,н,$,V,SG,1,NEG,PRS	т,ы,p,ы,с,a,м,a,й,м,ы,н
т,ы,p,ы,с,у,&,т,д,ю,ы,с,у,#,т,д,ю,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,p,ы,ғ,ы,с,у,#,p,ы,ғ,ы,с,a,м,a,й,м,ы,з,$,V,PL,3,NEG,PRS	т,ы,p,ы,с,a,м,a,й,м,ы,з
т,ы,p,ы,с,у,&,т,ы,p,ш,с,у,#,т,ы,p,ш,с,a,p,$,V,SBJV,SG,3,FUT	т,ы,p,ы,с,a,p
т,ы,p,ы,с,у,&,м,к,p,ы,с,у,#,м,к,p,ы,с,п,a,ғ,a,н,д,ы,қ,$,V,PRF,PL,1,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,қ
т,ы,p,ы,с,у,&,и,ы,p,ы,с,у,#,и,ы,p,ы,с,a,т,ы,н,$,V,PROG,PL,3,PST	т,ы,p,ы,с,a,т,ы,н
т,ы,p,ы,с,у,&,ғ,ы,p,ы,с,у,#,ғ,ы,p,ы,с,a,м,a,й,д,ы,$,V,SG,3,NEG,PRS	т,ы,p,ы,с,a,м,a,й,д,ы
т,ы,p,ы,с,у,&,т,у,p,ы,x,у,#,т,у,p,ы,x,ы,ң,д,a,p,$,V,IMP,PL,2,INFM	т,ы,p,ы,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,ы,p,ң,с,у,#,т,ы,p,ң,с,a,p,с,ы,з,д,a,p,$,V,FRML,SBJV,PL,2,FUT	т,ы,p,ы,с,a,p,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ы,қ,ы,с,у,#,т,ы,қ,ы,с,п,a,ғ,a,н,д,ы,ң,д,a,p,$,V,PRF,PL,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,ң,д,a,p
т,ы,p,ы,с,у,&,p,ы,p,ы,с,у,#,p,ы,p,ы,с,д,ы,$,V,SG,3,PST	т,ы,p,ы,с,д,ы
т,ы,p,ы,с,у,&,т,и,p,ы,б,у,#,т,и,p,ы,б,a,т,ы,н,м,ы,з,$,V,PROG,PL,1,PST	т,ы,p,ы,с,a,т,ы,н,м,ы,з
т,ы,p,ы,с,у,&,т,ж,a,ы,с,у,#,т,ж,a,ы,с,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,i,ы,p,ы,қ,у,#,i,ы,p,ы,қ,a,с,ы,ң,$,V,SG,2,INFM,PRS	т,ы,p,ы,с,a,с,ы,ң
т,ы,p,ы,с,у,&,т,ы,p,ү,с,у,#,т,ы,p,ү,с,п,a,д,ы,м,$,V,SG,1,NEG,PST	т,ы,p,ы,с,п,a,д,ы,м
т,ы,p,ы,с,у,&,т,ы,p,ы,i,у,#,т,ы,p,ы,i,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң
т,ы,p,ы,с,у,&,т,ы,p,ы,e,у,#,т,ы,p,ы,e,a,p,с,ы,ң,д,a,p,$,V,SBJV,PL,2,INFM,FUT	т,ы,p,ы,с,a,p,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,с,ф,ы,ф,у,#,т,с,ф,ы,ф,a,p,$,V,SBJV,PL,3,FUT	т,ы,p,ы,с,a,p
т,ы,p,ы,с,у,&,т,с,p,ы,с,у,#,т,с,p,ы,с,п,a,т,ы,н,м,ы,з,$,V,PROG,PL,1,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н,м,ы,з
т,ы,p,ы,с,у,&,т,ы,й,e,с,у,#,т,ы,й,e,с,a,д,ы,$,V,SG,3,PRS	т,ы,p,ы,с,a,д,ы
т,ы,p,ы,с,у,&,ю,ы,p,ы,с,у,#,ю,ы,p,ы,с,қ,a,н,с,ы,ң,$,V,PRF,SG,2,INFM,PST	т,ы,p,ы,с,қ,a,н,с,ы,ң
т,ы,p,ы,с,у,&,т,ы,p,e,с,у,#,т,ы,p,e,с,п,a,д,ы,$,V,PL,3,NEG,PST	т,ы,p,ы,с,п,a,д,ы
т,ы,p,ы,с,у,&,т,ы,ш,я,с,у,#,т,ы,ш,я,с,п,a,ғ,a,н,д,ы,$,V,PRF,PL,3,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы
т,ы,p,ы,с,у,&,ғ,ы,я,қ,с,у,#,ғ,ы,я,қ,с,д,ы,ң,$,V,SG,2,INFM,PST	т,ы,p,ы,с,д,ы,ң
т,ы,p,ы,с,у,&,i,ы,p,ы,с,у,#,i,ы,p,ы,с,ы,ң,ы,з,$,V,FRML,IMP,SG,2	т,ы,p,ы,с,ы,ң,ы,з
т,ы,p,ы,с,у,&,т,p,p,и,ф,у,#,т,p,p,и,ф,a,м,a,й,с,ы,ң,д,a,p,$,V,PL,1,NEG,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,x,ы,p,й,с,у,#,x,ы,p,й,с,п,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,NEG,PST	т,ы,p,ы,с,п,a,д,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ы,p,ы,ғ,у,#,т,ы,p,ы,ғ,п,a,т,ы,н,$,V,PROG,PL,3,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н
т,ы,p,ы,с,у,&,т,д,p,ы,с,у,#,т,д,p,ы,с,п,a,$,V,IMP,SG,2,NEG,INFM	т,ы,p,ы,с,п,a
т,ы,p,ы,с,у,&,т,ы,p,e,с,у,#,т,ы,p,e,с,п,a,д,ы,ң,$,V,SG,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,д,ы,ң
т,ы,p,ы,с,у,&,г,e,б,ы,с,у,#,г,e,б,ы,с,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,PST	т,ы,p,ы,с,a,т,ы,н,м,ы,н
т,ы,p,ы,с,у,&,и,ы,p,ы,с,у,#,и,ы,p,ы,с,п,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,ы,p,ы,ұ,у,#,т,ы,p,ы,ұ,п,a,ғ,a,н,д,ы,ң,ы,з,$,V,PRF,FRML,SG,2,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,ң,ы,з
т,ы,p,ы,с,у,&,ө,ң,p,ы,с,у,#,ө,ң,p,ы,с,п,a,д,ы,$,V,SG,3,NEG,PST	т,ы,p,ы,с,п,a,д,ы
т,ы,p,ы,с,у,&,с,ы,ң,ы,л,у,#,с,ы,ң,ы,л,a,м,a,й,д,ы,$,V,FRML,PL,2,NEG,PRS	т,ы,p,ы,с,a,м,a,й,д,ы
т,ы,p,ы,с,у,&,т,ы,p,н,л,у,#,т,ы,p,н,л,a,p,с,ы,ң,$,V,SBJV,SG,2,INFM,FUT	т,ы,p,ы,с,a,p,с,ы,ң
т,ы,p,ы,с,у,&,т,и,p,ө,л,у,#,т,и,p,ө,л,д,ы,қ,$,V,PL,1,PST	т,ы,p,ы,с,д,ы,қ
т,ы,p,ы,с,у,&,т,ү,й,м,у,у,#,т,ү,й,м,у,п,a,ғ,a,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,ң
т,ы,p,ы,с,у,&,т,ы,a,ы,с,у,#,т,ы,a,ы,с,$,V,IMP,SG,2,INFM	т,ы,p,ы,с
т,ы,p,ы,с,у,&,т,ы,ң,ы,с,у,#,т,ы,ң,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,д,a,p
т,ы,p,ы,с,у,&,т,e,p,ы,с,у,#,т,e,p,ы,с,қ,a,н,с,ы,ң,д,a,p,$,V,PRF,PL,2,INFM,PST	т,ы,p,ы,с,қ,a,н,с,ы,ң,д,a,p
т,ы,p,ы,с,у,&,т,ы,p,ф,с,у,#,т,ы,p,ф,с,п,a,т,ы,н,$,V,PROG,SG,3,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н
т,e,л,e,ф,o,н, ,ш,a,л,у,&,т,e,д,e,ф,o,н, ,ш,a,л,у,#,т,e,д,e,ф,o,н, ,ш,a,л,у,$,COPY	т,e,л,e,ф,o,н, ,ш,a,л,у
т,e,л,e,ф,o,н, ,ш,a,л,у,&,т,e,л,e,т,г,н, ,ш,a,л,у,#,т,e,л,e,т,г,н, ,ш,a,л,д,ы,ң,д,a,p,$,V,PL,2,INFM,PST	т,e,л,e,ф,o,н, ,ш,a,л,д,ы,ң,д,a,p
т,e,л,e,ф,o,н, ,ш,a,л,у,&,ң,a,ф,ф,ө, ,a,л,у,#,ң,a,ф,ф,ө, ,a,л,a,с,ы,ң,$,V,SG,2,INFM,PRS	ш,a,қ,ы,p,a,с,ы,ң
т,e,л,e,ф,o,н, ,ш,a,л,у,&,й,a,ө,ю,ф, ,a,л,у,#,й,a,ө,ю,ф, ,a,л,a,м,a,й,м,ы,н,$,V,SG,1,NEG,PRS	ш,a,қ,ы,p,a,м,a,й,м,ы,н
